Name | Logo URL | Stream URL
ATN Bangla UK | https://raw.githubusercontent.com/subirkumarpaul/Logo/main/ATN%20Bangla.png | https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI2/atnbanglauk-off.stream/playlist.m3u8
Tom & Jerry TV | https://bugsfreeweb.github.io/LiveTVCollector/BugsfreeLogo/default-logo.png | https://live20.bozztv.com/giatvplayout7/giatv-208314/tracks-v1a1/mono.ts.m3u8
B4U Kadak | https://raw.githubusercontent.com/subirkumarpaul/Logo/main/B4U%20Movies.png | https://cdn-2.pishow.tv/live/227/master.m3u8
Travel XP English EU | https://raw.githubusercontent.com/subirkumarpaul/Logo/main/Travel%20XP.png | https://travelxp-travelxp-1-eu.rakuten.wurl.tv/playlist.m3u8
YRF Music HD | https://bugsfreeweb.github.io/LiveTVCollector/BugsfreeLogo/default-logo.png | https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01412-xiaomiasia-yrfmusic-xiaomi/playlist.m3u8
Real Madrid tv Football | https://bugsfreeweb.github.io/LiveTVCollector/BugsfreeLogo/default-logo.png | https://rmtv.akamaized.net/hls/live/2043153/rmtv-es-web/bitrate_3.m3u8
like Gecko) Chrome/147.0.0.0 Safari/537.36" group-title="Movies",Anmol Cinema (576p) | https://dtil.tmsimg.com/assets/GNLZZGG00260YG8.png?lock=720x540 | http://103.175.73.12:8080/live/271/271_0.m3u8
Shubh Cinema TV (720p) | https://i.imgur.com/RQhorAG.png | https://d393sxaxig6bax.cloudfront.net/out/v1/589cf2cf44bf42bb941e817a2240d62e/index.m3u8
Arabica TV | https://bugsfreeweb.github.io/LiveTVCollector/BugsfreeLogo/default-logo.png | http://istream.binarywaves.com:8081/hls/arabica/playlist.m3u8
Zoo Moo | https://bugsfreeweb.github.io/LiveTVCollector/BugsfreeLogo/default-logo.png | https://zoomoo-samsungau.amagi.tv/playlist.m3u8
Aamar Bangla (720p) | https://jiotvimages.cdn.jio.com/dare_images/images/Amaar_Bangla.png | https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/amarbanglatv.stream/playlist.m3u8
Tarang TV (720p) | https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_TARANG/images/LOGO_HD/image.png | https://livetv.tarangplus.in/tarangtv-origin/live/playlist.m3u8
Iran International(EN) 🛜 | https://bugsfreeweb.github.io/LiveTVCollector/BugsfreeLogo/default-logo.png | https://dev-live.livetvstream.co.uk/LS-63503-4/chunklist_b1196000.m3u8
ABP Ganga (1080p) | https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/ABP_Ganga.svg/500px-ABP_Ganga.svg.png | https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/ganga-livetv/master.m3u8
BRK News (576p) | https://d229kpbsb5jevy.cloudfront.net/yuppfast/content/common/channel/logos/brk-news.png | https://cdn-1.pishow.tv/live/1037/master.m3u8
Guarantee News (1080p) | https://media.licdn.com/dms/image/v2/D560BAQHYZzbGJ7ViZA/company-logo_200_200/company-logo_200_200/0/1728031377890?e=2147483647&v=beta&t=bIsZgNUCcg0M_-Zqeu5wKYgBt_1-pI798X9lP5CxhTM | https://guaranteenews.in:8443/live/gnews/index.m3u8
IBC 24 (720p) | https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_IBC24/images/LOGO_HD/image.png | https://cdn-3.pishow.tv/live/220/master.m3u8
Kashish News (720p) | https://i.imgur.com/qfINs2r.png | https://server.thelegitpro.in/kashishnews/kashishnews/index.m3u8
News J (720p) [Not 24/7] | https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_NEWS_J/images/LOGO_HD/image.png | https://cdn-3.pishow.tv/live/1279/master.m3u8
PTC News (576p) | https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_PTC_NEWS/images/LOGO_HD/image.png | https://cdn-4.pishow.tv/live/1502/master.m3u8
Reporter TV (576p) | https://dtil.tmsimg.com/assets/s85096_ld_h15_aa.png?lock=720x540 | https://segment.yuppcdn.net/050522/reporter/playlist.m3u8
Swadesh News (720p) | https://jiotvimages.cdn.jio.com/dare_images/images/Swadesh_News.png | https://cdn-2.pishow.tv/live/465/master.m3u8
TNP News (1080p) | https://jiotvimages.cdn.jio.com/dare_images/images/TNP_News.png | https://server.thelegitpro.in/tnpnews/tnpnews/index.m3u8
V6 News (576p) | https://dtil.tmsimg.com/assets/s144047_ld_h15_aa.png?lock=720x540 | https://yuppmedtaorire.akamaized.net/v1/master/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/v6news_nim_https/140622/v6news/playlist.m3u8
7S Music (576p) | https://i.imgur.com/zDiIhdN.png | https://mumt03.tangotv.in/Dsly5z3H7SMUSIC/index.m3u8
Dhoom Music (720p) | https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_DHOOM_MUSIC/images/LOGO_HD/image.png | https://cdn-1.pishow.tv/live/1456/master.m3u8
Orange Bangla TV (720p) | https://i.imgur.com/wjSaHj5.png | https://cdn-4.pishow.tv/live/1499/master.m3u8
Raj Musix Telugu (720p) | https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_RAJ_MUSIX_TELUGU/images/LOGO_HD/image.png | https://cdn-1.pishow.tv/live/1213/master.m3u8
